シリーズ名・書名,発売日,著者
俺様シークの花嫁奴隷（２）,16,夏生恒
こいくちルームシェア（１）,16,ハルミチヒロ
スーパーベイビー（２）,16,丸顔めめ
社畜と少女の1800日（11）,16,板場広志
女には3年に一度どうにかされたい日がある（４）,16,村山渉
本日のバーガー（14）,16,花形怜／才谷ウメタロウ
俺の指で乱れろ。（２）～閉店後のサロン、意地悪に焦らされて,17,ｎｅｃｏ
俺の上腕二頭筋、エッチな目で見てたでしょ？（３）,17,高山こば
鬼上司はスーツを脱いでも凶暴でした。,17,藤森るい
パパだって、したい（４）,17,世尾せりな
妊男（４）～男子校で妊娠した俺。,17,真澄弥
片恋ロングフライト（仮）,17,さちこ
月と金のシャングリラ（１）（仮）,17,蔵西
囚われのエロティクス,17,コロ虎
秀才リーマンと腹黒女神　アブノーマル,17,高昌ゆり
僕の番は猫紳士,17,アサナエアラタ
五等分の花嫁　TVアニメ第1期　設定資料集,17,週刊少年マガジン編集部
五等分の花嫁　フルカラー版（１）,17,春場ねぎ
ヒプノシスマイク　―Before The Battle―　The Dirty Dawg（３）,17,ＥＶＩＬ　ＬＩＮＥ　ＲＥＣＯＲＤＳ／鴉月ルイ
EDENS ZERO（９）,17,真島ヒロ
ダイヤのA act2（21）,17,寺嶋裕二
なれの果ての僕ら（１）,17,内海八重
